,品目,,出し方,出し方のポイント等
ふ,フロントフォーク(自転車),,粗大ごみ,
ふ,フローリングシート,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
ふ,フローリング補修テープ,,燃やすごみ,
ふ,粉砕機,,粗大ごみ,
ふ,粉末飲料(スティックタイプ容器),,プラスチック製容器包装,
ふ,粉末洗剤,,燃やすごみ,
ふ,噴霧器(金属製),,小さな金属類,中身を使い切ること。30cm以上のものは粗大ごみへ。
ふ,噴霧器(スプレー状のもの),,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
ふ,噴霧器(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
ふ,フードセーバー,,燃やすごみ,
ふ,フードパック,,プラスチック製容器包装,
ふ,フードプロセッサー,,燃やすごみ,50cm以上のものは粗大ごみへ 金属製のパーツ(刃など)は小さな金属類へ。ガラス製パーツは燃えないごみへ
ふ,フープ,,粗大ごみ,
ふ,ブックエンド(金属製),,小さな金属類,陶器・ガラス製のものは燃えないごみへ 木製・プラスチック製のものは燃やすごみへ
ふ,ブックケース・ブックカバー,,燃やすごみ,紙製のものは古紙(雑誌・その他の紙)へ
ふ,ブックスタンド,,燃やすごみ,金属製で30cm未満のものは小さな金属類へ
ふ,仏具(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
ふ,仏具(陶器・ガラス製),,燃えないごみ,50cm以上のものは粗大ごみへ
ふ,仏具(木製),,燃やすごみ,50cm以上のものは粗大ごみへ
ふ,仏壇,,粗大ごみ,50cm未満のものは燃やすごみへ
ふ,ブティックハンガー,,粗大ごみ,
ふ,ブラインド,,粗大ごみ,
ふ,ブラウス,,古布,洗濯して乾かしてから
ふ,ブラックボード,,燃やすごみ,マーカーペンで記入を行なうタイプの物。 50cm以上のものは粗大ごみへ
ふ,ブランコ,,粗大ごみ,
ふ,BDプレーヤー・DVDプレーヤー,,粗大ごみ,プラスチック製で50㎝未満のものは燃やすごみへ(充電式のものの充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す)。 金属製で30㎝未満のものは小さな金属類へ。
ふ,ブレッドケース(金属製),,小さな金属類,30㎝以上のものは粗大ごみへ
ふ,ブレッドケース,,燃やすごみ,50㎝以上のものは粗大ごみへ
ふ,ブレーキパッド(ノンメタル・セミメタル),,燃やすごみ,50cm以上のものは粗大ごみへ
ふ,ブロック(玩具),,燃やすごみ,
ふ,ブロワ―(家庭用工具),◎,燃やすごみ,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
ふ,ブローブラシ,,燃やすごみ,
ふ,文鎮,,小さな金属類,石・陶器・ガラス製のものは燃えないごみへ
ふ,分度器(プラスチック製),,燃やすごみ,金属製のものは小さな金属類へ
ふ,分配器,◎,燃やすごみ,金属製のものは小さな金属類へ
ふ,文房具(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
ふ,文房具(プラスチック製),,燃やすごみ,
ふ,ブーツ,,燃やすごみ,
ふ,ブーツスタンド(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
ふ,ブーツスタンド(木製・プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ。
ふ,ブーツハンガー,,燃やすごみ,金属製で30㎝未満のものは小さな金属類、30㎝以上のものは粗大ごみへ
ふ,プラグ,◎,燃やすごみ,
ふ,プラスチックケース,,燃やすごみ,50cm以上のものは粗大ごみへ 容器包装に該当するものはプラスチック製容器包装へ
ふ,プラスチック製気泡緩衝材,,プラスチック製容器包装,商品を包んでいたものが対象(一部に紙が使われているものも含む)
ふ,プラスチック製のかご,,燃やすごみ,50cm以上のものは粗大ごみへ。
ふ,プラスチック製密閉容器,,燃やすごみ,
ふ,プラスチック段ボール,,燃やすごみ,折りたたんで
ふ,プラスチック粘土,,燃やすごみ,
ふ,プラスチックの棒・パイプ,,燃やすごみ,50cm以上のものは粗大ごみへ
ふ,プラスチックハンマー,,燃やすごみ,
ふ,プラスチックマット,,燃やすごみ,50cm以上のものは粗大ごみへ
ふ,プラスチックラップカッター,,燃やすごみ,50cm以上のものは粗大ごみへ
ふ,プラネタリウム(家庭用),,燃やすごみ,50cm以上のものは粗大ごみへ
ふ,プラモデル,,燃やすごみ,50cm以上のものは粗大ごみへ
ふ,プラモデルの枠,,燃やすごみ,
ふ,プラレール,,燃やすごみ,50cm以上のものは粗大ごみへ
ふ,プランタースタンド,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ。木製・プラスチック製で50センチ未満のものは燃やすごみへ
ふ,プリザーブドフラワー,,燃やすごみ,
ふ,プリンター,,燃やすごみ,50㎝以上のものは粗大ごみへ
ふ,プリンターカバー,,燃やすごみ,
ふ,プリントゴッコ,,燃やすごみ,
ふ,プリンのフタ(プラスチック製),,プラスチック製容器包装,銀紙は燃やすごみへ
ふ,プリンの容器,,プラスチック製容器包装,ガラス製のものは缶・びん・ペットボトルへ
ふ,プレイジム,,粗大ごみ,
ふ,プレイマット,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
ふ,プレパラート,,燃えないごみ,
ふ,ブレーキパッド(メタル),,粗大ごみ,30cm未満のものは小さな金属類へ
ふ,プロジェクションテレビ,,粗大ごみ,家電リサイクル対象外製品
ふ,プロジェクター,,燃やすごみ,50cm以上のものは粗大ごみへ
ふ,プロジェクタースクリーン,,粗大ごみ,
ふ,プロテクター,,燃やすごみ,50㎝以上のものは粗大ごみへ
ふ,プロポ(ラジコンの送信機),,燃やすごみ,
へ,飲料用のペットボトル,,缶・びん・ペットボトル,ペットボトルマークを確認。海外製のものはマークが無くても可。キャップとラベルは、外してプラスチック製容器包装へ
へ,飲料用のペットボトルのキャップ,,プラスチック製容器包装,
へ,飲料用のペットボトルのラベル,,プラスチック製容器包装,
へ,ヘアカッター(本体がプラスチック製),,燃やすごみ,外せる刃は小さな金属類へ
へ,ヘアカラー(アルミチューブ),,小さな金属類,中身を使い切って
へ,ヘアカラー(エアゾール缶),,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
へ,ヘアカラーの容器(プラスチック製),,プラスチック製容器包装,中身を使い切って。ガラス瓶は燃えないごみへ
へ,ヘアキャップ,,燃やすごみ,
へ,ヘアバンド,,燃やすごみ,金属製のものは小さな金属類へ
へ,ヘアピン,,小さな金属類,
へ,ヘアワックス,,燃やすごみ,容器はプラスチック製容器包装へ
へ,ヘアワックスの容器,,プラスチック製容器包装,ガラス製のものは燃えないごみへ。金属製のものは小さな金属類へ
へ,ヘアースプレー,,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
へ,ヘアースプレーの包装フィルム,,プラスチック製容器包装,
へ,ヘッドセット,,燃やすごみ,金属製のものは小さな金属類へ
へ,ヘッドホンステレオ,◎,燃やすごみ,ワイヤレスは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。 金属製のものは小さな金属類へ。
へ,ヘッドホンハンガー,,燃やすごみ,金属製のものは小さな金属類へ
へ,ヘッドボード(ベッドの頭側の板),,粗大ごみ,
へ,ヘッドマウントディスプレイ,◎,燃やすごみ,充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
へ,ヘッドライト,,燃やすごみ,ガラスは燃えないごみ
へ,ヘッドレスト,,燃やすごみ,
へ,ヘラ,,燃やすごみ,金属製のものは小さな金属類へ
へ,ヘリウムガス缶,,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
へ,ヘリウムガスボンベ(使いきりタイプ),,粗大ごみ,高圧ガス保安法対象外で、ボンベ型の製品。30cm未満のものは小さな金属類へ
へ,ヘルメット,,燃やすごみ,
へ,ヘルメット用カバー,,燃やすごみ,布製のものは古布へ
へ,ヘルメット用シールド,,燃やすごみ,
へ,べっこう製品,,燃やすごみ,50cm以上のものは粗大ごみへ
へ,ベッド,,粗大ごみ,
へ,ベッドカバー,,古布,洗濯して乾かしてから。綿が入っているものは燃やすごみへ
へ,ベッドガード,,粗大ごみ,
へ,ベッドサイドチェスト,,粗大ごみ,50cm未満のものは燃やすごみへ
へ,ベッドフレーム,,粗大ごみ,
へ,ベッドマット・マットレス,,粗大ごみ,
へ,ベッドメリー,,燃やすごみ,50cm以上のものは粗大ごみへ
へ,ベニヤ板,,粗大ごみ,50cm未満のものは燃やすごみへ
へ,ベビーオイル(容器),,プラスチック製容器包装,
へ,ベビーカー,,粗大ごみ,
へ,ベビーカー カバー,,燃やすごみ,布製のものは古布へ
へ,ベビーカーステップ,,燃やすごみ,50cm以上のものは粗大ごみへ
へ,ベビーカー用カバー,,燃やすごみ,
へ,ベビーゲート,,粗大ごみ,50cm未満のものは燃やすごみへ
へ,ベビースケール,,粗大ごみ,50cm未満のものは燃やすごみへ
へ,ベビーバス,,粗大ごみ,一番大きい辺が50cm未満のものは燃やすごみへ。ビニール製のものは空気を抜いて燃やすごみへ。
へ,ベビーバスチェア,,粗大ごみ,50cm未満のものは燃やすごみ
へ,ベビーパウダー,,燃やすごみ,容器は素材に応じてプラスチック製容器包装(プラスチック製)または小さな金属類(金属製)へ
へ,ベビー服,,古布,洗濯をして乾かしてから。綿の入っているものは燃やすごみへ
へ,ベビーフード(アルミパウチ),,プラスチック製容器包装,びんのものは缶・びん・ぺっとぼとるへ
へ,ベビーベッド,,粗大ごみ,
へ,ベランダストッカー,,粗大ごみ,50cm未満のものは燃やすごみへ
へ,ベランダマット,,燃やすごみ,石付きのものは燃えないごみへ
へ,ベルト,,燃やすごみ,バックル等金属部分は小さな金属類へ
へ,便器,,粗大ごみ,50cm未満のものは燃えないごみへ
へ,便座カバー,,燃やすごみ,
へ,便座シート,,燃やすごみ,
へ,便座のふた,,燃やすごみ,50cm以上のものは粗大ごみへ
へ,ベンチ,,粗大ごみ,木製・プラスチック製のもので50cm未満のものは燃やすごみへ
へ,弁当・食品等の調味料袋,,プラスチック製容器包装,中身を使い切って。陶器・ガラス製のものは燃えないごみへ
へ,弁当容器(コンビニ等の弁当容器),,プラスチック製容器包装,
へ,弁当容器(木製・紙製),,燃やすごみ,紙製の汚れていないものは古紙(雑誌・その他の紙)へ。中身のプラスチック製の容器はプラスチック製容器包装へ
へ,ベーゴマ,,小さな金属類,
へ,ベール,,古布,
へ,ペール缶,,粗大ごみ,
へ,ペグ,,小さな金属類,プラスチック製のものは燃やすごみへ
へ,ペダル(金属製),,小さな金属類,
へ,ペダル(プラスチック製),,燃やすごみ,
へ,ペットガード(柵),,粗大ごみ,
へ,ペットキャリー(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
へ,ペットキャリー(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
へ,ペットゲージ(金属製),,粗大ごみ,一番長い辺が30cm未満のものは小さな金属類へ
へ,ペットゲージ(金属製以外),,粗大ごみ,一番長い辺が50cm未満のものは燃やすごみへ
へ,ペット小屋,,粗大ごみ,50cm未満のものは燃やすごみへ
へ,ペットシート,,燃やすごみ,汚物(染み込まないもの)はトイレに流して
へ,ペットソファー,,粗大ごみ,50㎝未満のものは燃やすごみへ
へ,ペットのエサ・水入れ,,燃やすごみ,
へ,ペットのエサ・水入れ(陶器製),,燃えないごみ,
へ,ペットのエサ・水入れ(金属製),,小さな金属類,
へ,ペットのトイレ用砂,,燃えないごみ,汚物を取り除いて(汚物はトイレに流す)。紙製や木くずのものは汚物を取り除いて燃やすごみへ
へ,ペットのふん,,トイレに流す,
へ,ペットバギー,,粗大ごみ,
へ,ペットフェンス,,粗大ごみ,
へ,ペットフード,,燃やすごみ,
へ,ペットフードの容器(紙製),,燃やすごみ,
へ,ペットフードの容器(缶),,缶・びん・ペットボトル,
へ,ペットフードの容器(プラスチック製),,プラスチック製容器包装,
へ,ペットボトルホルダー,,燃やすごみ,
へ,ペットボトルカバー,,燃やすごみ,
へ,ペット用衣類,,燃やすごみ,
へ,ペット用えさやり器,◎,燃やすごみ,
へ,ペット用自動給水器,◎,燃やすごみ,
へ,ペット用トイレ,,燃やすごみ,50cm以上のものは粗大ごみへ
へ,ペット用ドライヤー,◎,燃やすごみ,50cm以上のものは粗大ごみへ
へ,ペット用バスタブ,,粗大ごみ,50㎝未満の場合は燃やすごみ
へ,ペット用ヒーター,,燃やすごみ,
へ,ペット用ベッド,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ、布・プラスチック製で50㎝未満のものは燃やすごみへ
へ,ペット用水飲み,,燃やすごみ,金属製のものは小さな金属類へ
へ,ペッパーミル(金属製),,小さな金属類,
へ,ペッパーミル(木製・プラスチック製),,燃やすごみ,スパイス購入時のミル付容器でプラマークのついているものは、プラスチック製容器包装へ
へ,ペンキ,,販売店へ相談,
へ,ペンキの空き缶,,小さな金属類,中身を使い切って
へ,ペンキャップ(金属製以外),,燃やすごみ,
へ,ペンキャップ(金属製),,小さな金属類,
へ,ペンキローラー,,燃やすごみ,
へ,ペンチ,,小さな金属類,
へ,ペーパークラフト,,古紙(雑誌・その他の紙）,
へ,ペーパータオル,,燃やすごみ,未使用のものは古紙(雑誌・その他の紙)へ
へ,ペーパーナイフ,,小さな金属類,木製・プラスチック製のものは燃やすごみ
へ,ペーパーナプキン,,燃やすごみ,
へ,ペーパーファスナー,,燃やすごみ,金属製のものは小さな金属類へ
へ,ペーパーホルダー,,小さな金属類,プラスチック製・木製のものは燃やすごみへ
へ,ペール缶(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
へ,ペール缶(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
ほ,ポータブル電源,,メーカーに問い合わせ,メーカーまたは販売店での対応が困難な場合は、収集事務所にご相談ください。
ほ,ポーチ・化粧ポーチ,,燃やすごみ,
ほ,干物用ざる,,粗大ごみ,50cm未満のものは燃やすごみへ
ほ,ホイッスル,,燃やすごみ,金属製のものは小さな金属類へ
ほ,ホイップクリームの缶(スプレー缶タイプ),,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
ほ,ホイールカバー・ホイールキャップ,,燃やすごみ,50㎝超える場合は粗大ごみへ
ほ,方位磁石,,燃やすごみ,
ほ,ほうき(柄が金属製でないもの),,燃やすごみ,50cm以上のものは粗大ごみへ
ほ,ほうき(柄が金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
ほ,芳香剤容器(缶),,小さな金属類,
ほ,芳香剤容器(びん),,燃えないごみ,中身を使い切ってから。新聞紙等に包み品名を表示する。
ほ,芳香剤容器(プラスチック製),,プラスチック製容器包装,
ほ,宝石箱・スタンド(金属製),,小さな金属類,木・プラスチック・革・布製のものは燃やすごみへ ガラス製のものは燃えないごみへ
ほ,包装材(プラスチック製),,プラスチック製容器包装,
ほ,包装紙,,古紙(雑誌・その他の紙）,宛名等裏カーボン紙は除く
ほ,包装材(紙製),,古紙(雑誌・その他の紙）,
ほ,包帯,,燃やすごみ,
ほ,包帯どめ,,燃やすごみ,
ほ,包丁(金属製),,小さな金属類,新聞紙等に包み品名を表示する。柄を含めずに30㎝以上のものは粗大ごみへ
ほ,包丁とぎ(プラスチック製),,燃やすごみ,
ほ,放電器,◎,燃やすごみ,
ほ,放熱板,,小さな金属類,
ほ,保温カップ(プラスチック製),,燃やすごみ,金属製のものは小さな金属類へ。ガラス製のものは燃えないごみへ。
ほ,保温器,,粗大ごみ,
ほ,保温シート,,燃やすごみ,
ほ,保温ジャー,,粗大ごみ,30cm未満のものは小さな金属類へ
ほ,保温鍋,◎,小さな金属類,プラスチック製のものは燃やすごみへ
ほ,保温プレート(石版・セラミック製),,燃えないごみ,
ほ,保温弁当箱,,燃やすごみ,金属製(または金属ケース部分)は小さな金属類へ
ほ,歩行器,,粗大ごみ,プラスチック製で50cm未満のものは燃やすごみへ
ほ,埃,,燃やすごみ,
ほ,干し網,,燃やすごみ,50cm以上のものは粗大ごみへ
ほ,補助便座,,燃やすごみ,50cm以上のものは粗大ごみへ
ほ,補正下着,,古布,
ほ,保存食品(プラスチック製容器に入っているもの),,燃やすごみ,包装はプラスチック製容器包装へ
ほ,保存ビン,,燃えないごみ,
ほ,蛍石,,燃えないごみ,
ほ,補聴器,◎,燃やすごみ,電池・充電池は抜く。 充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
ほ,ホック,,小さな金属類,
ほ,ホッケーのスティック,,粗大ごみ,
ほ,ホッチキスの針,,小さな金属類,
ほ,ホッチキス(本体),,小さな金属類,プラスチック製のものは燃やすごみへ
ほ,ホットサンドメーカー(プラスチック製),,燃やすごみ,金属プレートは小さな金属類へ
ほ,ホットサンドメーカー・プレート(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
ほ,ホットパネル,,粗大ごみ,50cm未満のものは燃やすごみへ
ほ,ホットビューラー,◎,燃やすごみ,電池・充電池は抜く。 充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
ほ,ホットプレート,,粗大ごみ,30㎝未満のものは小さな金属類へ。ガラス製の蓋は燃えないごみへ
ほ,ホッピング(ポゴスティック),,粗大ごみ,
ほ,ほ乳瓶消毒ケース・ほ乳瓶ウォーマー,,燃やすごみ,ピッチャーなどガラスのパーツは燃えないごみへ
ほ,哺乳瓶立て,,燃やすごみ,
ほ,哺乳びんの乳首,,燃やすごみ,
ほ,ほ乳瓶(ガラス製),,燃えないごみ,新聞紙等に包み品名を表示する
ほ,ほ乳瓶(プラスチック製),,燃やすごみ,
ほ,保冷剤・瞬間冷却材,,燃やすごみ,中身が水の場合は中身を空にして
ほ,保冷バッグ,,燃やすごみ,
ほ,ホワイトボード,,粗大ごみ,50cm未満のものは燃やすごみへ
ほ,本の帯,,古紙(雑誌・その他の紙）,本と一緒に出すこともできます
ほ,ホース,,燃やすごみ,丸めて50cm以上の幅があるものは粗大ごみへ
ほ,ホースカバー,,燃やすごみ,
ほ,ホースクリップ(金属製),,小さな金属類,プラスチック製のものは燃やすごみへ
ほ,ホースバンド,,小さな金属類,樹脂製の物は燃やすごみ
ほ,ホースリール(リール部分がプラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
ほ,ホースリール(リール部分が金属製で30cm未満のもの),,小さな金属類,ホースは取り外して燃やすごみへ
ほ,ホースリール(リール部分が金属製で30cm以上のもの),,粗大ごみ,
ほ,ホームサウナ,,粗大ごみ,重量・サイズによっては一部除外あり
ほ,ホームプレート(野球),,燃やすごみ,
ほ,ホームベーカリー(金属製),,小さな金属類,30cm以上のものは粗大ごみへ。
ほ,ホームベーカリーの内釜・内蓋,,小さな金属類,30㎝以上は粗大ごみへ
ほ,ホームベーカリー(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみ。内釜などの金属パーツは外して小さな金属類へ。
ほ,ホームロッカー,,粗大ごみ,
ほ,ホーロー製品,,小さな金属類,30cm以上のものは粗大ごみへ。容器のシールフタ部分は燃やすごみへ
ほ,防炎カバー,,燃やすごみ,
ほ,望遠鏡,,燃やすごみ,50cm以上のものは粗大ごみへ
ほ,防炎クロス,,燃やすごみ,
ほ,防音材,,粗大ごみ,
ほ,防カビ用のくん煙剤,,プラスチック製容器包装,使い切って出す。内側の金属容器は小さな金属類へ
ほ,ボウケース,,粗大ごみ,
ほ,防災シート,,燃やすごみ,
ほ,防災頭巾,,燃やすごみ,
ほ,帽子,,古布,
ほ,帽子掛け,,粗大ごみ,木製・プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ
ほ,防塵マスク,,燃やすごみ,
ほ,防水カバー,,燃やすごみ,
ほ,防水シーツ、吸水シーツ,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
ほ,防水フィルム,,燃やすごみ,
ほ,防草シート,,燃やすごみ,畳んで50㎝以上のものは粗大ごみへ
ほ,防虫カバー,,燃やすごみ,
ほ,防虫剤(衣類用),,燃やすごみ,
ほ,防虫剤(エアゾール缶),,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
ほ,防虫剤のケース,,プラスチック製容器包装,
ほ,防虫剤(スプレータイプ),,プラスチック製容器包装,
ほ,防虫剤(プレートタイプ),,燃やすごみ,
ほ,防虫シート,,燃やすごみ,
ほ,防毒マスク,,燃やすごみ,
ほ,防犯スプレー,,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
ほ,防犯ブザー,,燃やすごみ,
ほ,防犯用窓ロック(金属製),,小さな金属類,
ほ,防犯用窓ロック(プラスチック製),,燃やすごみ,
ほ,防腐剤,,燃やすごみ,
ほ,ボウリングの球,,燃えないごみ,
ほ,ボウリングのピン,,燃やすごみ,
ほ,ボウル・ストレーナー(調理器具等・金属製),,小さな金属類,30cm以上のものは粗大ごみへ
ほ,ボウル(調理器具等・ガラス製),,燃えないごみ,
ほ,ボウル・ストレーナー,,燃やすごみ,
ほ,墨汁・固形墨,,燃やすごみ,ぼろ布などに染み込ませる。容器(プラスチック製)はプラスチック製容器包装へ
ほ,木刀,,粗大ごみ,
ほ,ボタン,,燃やすごみ,金属製のものは小さな金属類へ
ほ,ボディータオル,,燃やすごみ,
ほ,ボトルガムの容器,,プラスチック製容器包装,
ほ,ボトルキャップ,,燃やすごみ,
ほ,ボトルシップ,,燃えないごみ,
ほ,ボトルスポンジ,,燃やすごみ,
ほ,ボトルラック,,粗大ごみ,
ほ,母乳パッド,,燃やすごみ,
ほ,ボビンケース(プラスチック製),,燃やすごみ,金属製のものは小さな金属類へ
ほ,ボルト,,小さな金属類,
ほ,ぼろ布,,燃やすごみ,
ほ,盆提灯,,燃やすごみ,50cm以上のものは粗大ごみへ
ほ,雪洞,,燃やすごみ,電球等があれば外して燃えないごみへ。50cm以上のものは粗大ごみへ
ほ,ボードゲーム,,燃やすごみ,紙製のものは古紙(雑誌・その他の紙)へ
ほ,ボールタップ,,燃やすごみ,ボール部分が金属製の場合は小さな金属類へ
ほ,ボールハウス,,粗大ごみ,折りたたんで一番長い辺が50cm未満のものは、燃やすごみへ
ほ,ボール(テニスボール、軟球、硬球、サッカーボールなど),,燃やすごみ,
ほ,ポケットコンピュータ,◎,燃やすごみ,充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
ほ,ポケットベル,,燃やすごみ,
ほ,ポスター,,古紙(雑誌・その他の紙）,
ほ,ポット型浄水器(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
ほ,ポット(ガラス製・陶器製),,燃えないごみ,
ほ,ポット(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
ほ,ポット(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
ほ,ポップコーンケース,,プラスチック製容器包装,ケースのみを購入した場合及び紙製のものは燃やすごみへ
ほ,ポップコーンメーカー,,燃やすごみ,50cm以上のものは粗大ごみへ
ほ,ポテトチップスの容器(紙製:筒状),,燃やすごみ,底が金属製で外せるものは、外して小さな金属類へ。汚れていないもの(中身が別包装の場合)で、内側がアルミ貼りでないものは古紙(雑誌・その他の紙)へ
ほ,ポリキャップ,,燃やすごみ,
ほ,ポリタンク(灯油用等),,燃やすごみ,中身を空にして 50cm以上のものは粗大ごみへ。「廃棄します」「ごみです」等、明示する
ほ,ポリッシャー,,小さな金属類,30cm以上のものは粗大ごみへ
ほ,ポンポン,,燃やすごみ,
ほ,ポーション(ガムシロップ等のプラスチック容器),,プラスチック製容器包装,
ほ,ポータブル扇風機,◎,燃やすごみ,電池・充電池は抜く。 充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。 金属製のものは小さな金属類へ。
ほ,ポータブルテレビ,,家電リサイクル,液晶式テレビで、かつ電源として一次電池又は蓄電池を使用するものは燃やすごみへ
ほ,ポータブルトイレ,,粗大ごみ,50cm未満のものは燃やすごみへ
ほ,ポールスタンド(金属製),,小さな金属類,30㎝以上のものは粗大ごみへ プラスチック製のものは燃やすごみへ
ほ,ポールストッパー,,燃やすごみ,金属製は小さな金属類へ
ほ,ポールハンガー,,粗大ごみ,
ま,窓用フィルム,,燃やすごみ,
ま,マイカ線,,燃やすごみ,
ま,マイクスタンド(金属製),,粗大ごみ,畳んで30cm未満のものは小さな金属類へ
ま,マイク(金属製),◎,小さな金属類,プラスチック製のものは燃やすごみへ
ま,マガジンラック(金属製以外),,燃やすごみ,50cm以上のものは粗大ごみへ
ま,マガジンラック(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
ま,薪,,燃やすごみ,50cm未満にする。 50cm以上のものは粗大ごみへ
ま,巻尺(金属製),,小さな金属類,
ま,巻尺(プラスチック製),,燃やすごみ,
ま,巻き簀,,燃やすごみ,
ま,薪ストーブ,,粗大ごみ,
ま,巻物,,燃やすごみ,
ま,巻き藁,,粗大ごみ,50cm未満のものは燃やすごみへ
ま,幕,,古布,
ま,枕,,燃やすごみ,
ま,まくらカバー,,古布,汚れのひどいものは燃やすごみへ
ま,枕干し,,燃やすごみ,
ま,マグカップ,,燃えないごみ,プラスチック製のものは燃やすごみへ
ま,マグネットシート,,燃やすごみ,
ま,マグネット付フック(プラスチック製),,燃やすごみ,金属製のものは小さな金属類へ
ま,マグネットバー,,燃やすごみ,
ま,曲げわっぱ,,燃やすごみ,
ま,孫の手,,燃やすごみ,
ま,マジックテープ,,燃やすごみ,
ま,マジックハンド,,粗大ごみ,プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ
ま,枡,,燃やすごみ,
ま,マスキングテープ,,燃やすごみ,
ま,マスク,,燃やすごみ,ごみ袋は空気を抜いて、しっかりしばって封をしてね。
ま,マスト,,粗大ごみ,
ま,マッサージ機,,粗大ごみ,50cm未満のものは燃やすごみへ(充電式のものの充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す)
ま,マッサージチェアー,,粗大ごみ,
ま,マッシャー,,小さな金属類,樹脂製品は燃やすごみへ
ま,マッチ,,燃やすごみ,水にぬらして出す
ま,マッチ箱,,燃やすごみ,
ま,マットレスパッド,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
ま,松葉杖,,粗大ごみ,
ま,窓ガラス,,粗大ごみ,50cm未満のものは燃えないごみへ
ま,窓付き封筒,,古紙(雑誌・その他の紙）,窓のフィルム部分は燃やすごみへ。フィルム部分がグラシン紙の場合はそのまま古紙へ
ま,窓拭きワイパー,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ 金属製以外のもので50㎝未満のものは燃やすごみへ
ま,マドラー,,燃やすごみ,金属製のものは小さな金属類へ、ガラス製のものは燃えないごみへ
ま,窓枠,,粗大ごみ,
ま,まな板シート,,燃やすごみ,
ま,まな板スタンド(金属製),,小さな金属類,30㎝以上のものは粗大ごみへ
ま,まな板スタンド(木製・プラスチック製),,燃やすごみ,
ま,まな板(ガラス製),,燃えないごみ,
ま,まな板(木製、プラスチック製),,燃やすごみ,
ま,マニキュアのケース(プラスチック製),,プラスチック製容器包装,
ま,マニキュアの中身,,燃やすごみ,ぼろ布等に染み込ませて
ま,マニキュアのびん,,燃えないごみ,プラスチック製のふたはプラスチック製容器包装へ
ま,マネキン,,粗大ごみ,事業で排出するものは、事業系ごみ
ま,マネキンヘッド,,燃やすごみ,事業で排出するものは事業系ごみ。50cm以上のものは粗大ごみへ。金属製は、30cm未満のものは小さな金属類 30cm以上のものは粗大ごみへ。
ま,マネークリップ(革製),,燃やすごみ,
ま,マネークリップ(金属製),,小さな金属類,
ま,マフラー,,古布,洗濯をして乾かしてから
